文章序號,文章標題,關鍵字,TF (本篇次數),DF (幾篇有它),IDF (稀有度),TF-IDF (最終分數)
3,114年防檢署防疫宣傳預算被刪6成,防檢署,19,3,5.92,0.3077
3,114年防檢署防疫宣傳預算被刪6成,豬瘟,17,1,6.6131,0.3076
3,114年防檢署防疫宣傳預算被刪6成,114年,22,20,4.2618,0.2565
3,114年防檢署防疫宣傳預算被刪6成,非洲,17,7,5.2268,0.2431
3,114年防檢署防疫宣傳預算被刪6成,刪除,16,28,3.939,0.1724
3,114年防檢署防疫宣傳預算被刪6成,農業部,9,16,4.4731,0.1101
3,114年防檢署防疫宣傳預算被刪6成,113年,8,9,5.0037,0.1095
3,114年防檢署防疫宣傳預算被刪6成,宣傳,10,27,3.9741,0.1087
4,165專線沒有與立委合辦全民反詐調查問卷,問卷,22,4,5.6968,0.636
4,165專線沒有與立委合辦全民反詐調查問卷,反詐,10,4,5.6968,0.2891
4,165專線沒有與立委合辦全民反詐調查問卷,詐騙,21,124,2.478,0.2641
4,165專線沒有與立委合辦全民反詐調查問卷,165,12,29,3.9051,0.2378
4,165專線沒有與立委合辦全民反詐調查問卷,調查,11,52,3.336,0.1862
4,165專線沒有與立委合辦全民反詐調查問卷,全民,7,15,4.5337,0.1611
4,165專線沒有與立委合辦全民反詐調查問卷,名人,6,13,4.6672,0.1421
4,165專線沒有與立委合辦全民反詐調查問卷,抽獎,5,5,5.5145,0.1399
4,165專線沒有與立委合辦全民反詐調查問卷,民眾,16,273,1.6931,0.1375
4,165專線沒有與立委合辦全民反詐調查問卷,立委,8,58,3.2287,0.1311
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,核三廠,27,6,5.3604,0.353
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,事故,37,33,3.7799,0.3411
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,事件,46,171,2.1588,0.2422
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,反應爐,14,2,6.2077,0.212
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,輻射,18,11,4.8214,0.2117
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,緊急,21,29,3.9051,0.2
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,發電機,13,3,5.92,0.1877
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,核能,13,7,5.2268,0.1657
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,核三,13,9,5.0037,0.1586
5,2001年核三3A事件是台灣核安史重大事件 當時爐心溫度相當低無釀核災疑慮,冷卻,11,4,5.6968,0.1528
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,列車,12,5,5.5145,0.4525
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,高鐵,10,4,5.6968,0.3896
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,車廂,9,2,6.2077,0.3821
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,照片,16,90,2.7954,0.3059
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,內部,7,24,4.0874,0.1957
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,拍攝,8,66,3.1016,0.1697
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,2017年,6,26,4.0104,0.1646
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,中國,10,165,2.1943,0.1501
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,3316,3,1,6.6131,0.1357
6,2017年中國列車凌亂照，被錯稱為台灣高鐵實拍,實拍,3,1,6.6131,0.1357
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,解放軍,9,8,5.1091,0.3645
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,閱兵,9,9,5.0037,0.357
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,福建,7,6,5.3604,0.2975
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,共軍,6,6,5.3604,0.255
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,畫面,16,205,1.9784,0.251
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,開往,5,2,6.2077,0.2461
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,2017年,6,26,4.0104,0.1908
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,開戰,4,4,5.6968,0.1807
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,集結,3,3,5.92,0.1408
7,2017年解放軍閱兵畫面被傳為共軍福建集結準備攻台,錯覺,3,4,5.6968,0.1355
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,伊朗,29,16,4.4731,0.6525
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,焚燒,12,2,6.2077,0.3747
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,議員,14,18,4.3618,0.3072
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,核武,9,5,5.5145,0.2497
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,美國,19,181,2.1023,0.2009
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,國旗,8,10,4.9084,0.1975
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,2018年,7,27,3.9741,0.1399
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,議會,5,7,5.2268,0.1315
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,退出,4,8,5.1091,0.1028
8,2018伊朗議員焚燒美國旗畫面遭誤傳為近期以伊衝突事件,美國旗,3,1,6.6131,0.0998
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,國軍,9,25,4.0482,0.357
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,漢光,7,13,4.6672,0.3201
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,垂降,5,2,6.2077,0.3042
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,演習,7,20,4.2618,0.2923
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,英雄館,4,1,6.6131,0.2592
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,訓練,5,25,4.0482,0.1983
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,2018年,5,27,3.9741,0.1947
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,演練,4,11,4.8214,0.189
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,封鎖,3,13,4.6672,0.1372
9,2018年北市特勤垂降墜地影片被錯稱為漢光演習國軍墜樓,北市,3,15,4.5337,0.1333
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,北韓,13,2,6.2077,0.4913
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,伊朗,16,16,4.4731,0.4357
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,金正恩,8,2,6.2077,0.3023
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,打擊,7,12,4.7413,0.2021
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,宣布,11,94,2.7524,0.1843
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,2018年,7,27,3.9741,0.1694
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,核試,4,1,6.6131,0.161
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,美國,11,181,2.1023,0.1408
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,停止,6,31,3.8405,0.1403
10,2018年舊新聞被誤傳為北韓6月21日宣布停止核試,6月,8,83,2.8755,0.1401
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,伊朗,14,16,4.4731,0.4643
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,內部,11,24,4.0874,0.3334
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,美國,20,181,2.1023,0.3118
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,轟炸,7,10,4.9084,0.2548
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,2019年,8,23,4.1282,0.2449
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,轟炸機,5,6,5.3604,0.1987
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,駕駛艙,4,1,6.6131,0.1961
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,畫面,10,205,1.9784,0.1467
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,空軍,5,28,3.939,0.146
11,2019年B-2舊影像遭誤傳為美軍空襲伊朗後首度公開轟炸機內部畫面,首度,4,10,4.9084,0.1456
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,墜機,10,4,5.6968,0.4564
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,尼泊爾,8,5,5.5145,0.3534
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,2023年,12,79,2.9242,0.2811
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,航空,7,13,4.6672,0.2617
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,印度,8,28,3.939,0.2524
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,墜毀,5,6,5.3604,0.2147
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,失事,5,6,5.3604,0.2147
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,畫面,12,205,1.9784,0.1902
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,飛往,4,3,5.92,0.1897
12,2023年尼泊爾墜機影片遭誤傳為近日印度航空空難,客機,4,4,5.6968,0.1826
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,跳舞,10,2,6.2077,0.4608
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,頭條,6,7,5.2268,0.2328
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,賴清德,7,27,3.9741,0.2065
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,微視,4,1,6.6131,0.1963
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,7月,10,113,2.5701,0.1908
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,水災,4,2,6.2077,0.1843
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,接著,6,24,4.0874,0.182
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,兩岸,6,27,3.9741,0.177
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,2023年,7,79,2.9242,0.1519
13,2023年活動舊影片遭挪用稱賴清德無視水災慶祝,奏樂,3,1,6.6131,0.1473
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,伊朗,21,16,4.4731,0.595
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,以色列,16,23,4.1282,0.4184
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,隧道,7,4,5.6968,0.2526
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,空襲,7,17,4.4159,0.1958
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,跳舞,4,2,6.2077,0.1573
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,襲擊,5,11,4.8214,0.1527
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,伊朗人,3,1,6.6131,0.1257
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,載歌載舞,3,1,6.6131,0.1257
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,伊斯蘭,3,2,6.2077,0.118
14,2023年無關舊影像遭誤傳為伊朗人跳舞慶祝以色列襲擊,2023年,6,79,2.9242,0.1111
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,以色列,15,23,4.1282,0.5027
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,以伊,5,3,5.92,0.2403
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,海外,6,13,4.6672,0.2273
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,2023年,9,79,2.9242,0.2136
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,6月,8,83,2.8755,0.1867
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,滯留,4,5,5.5145,0.1791
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,衝突,6,38,3.6427,0.1774
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,以色列人,3,1,6.6131,0.1611
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,安納杜魯,3,1,6.6131,0.1611
15,2023年飛機畫面遭誤傳為近期以伊衝突中的以色列撤僑行動,接運,3,1,6.6131,0.1611
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,演習,32,20,4.2618,0.5883
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,防空,15,7,5.2268,0.3382
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,管制,16,29,3.9051,0.2695
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,分鐘,14,40,3.5927,0.217
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,延長,10,15,4.5337,0.1956
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,演練,7,11,4.8214,0.1456
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,30,9,38,3.6427,0.1414
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,疏散,6,7,5.2268,0.1353
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,萬安,5,2,6.2077,0.1339
16,2025城鎮韌性防空演習人車管制維持30分鐘，非網傳90分鐘,城鎮,5,4,5.6968,0.1229
17,2025疫苗預算凍結1千萬，沒有刪除,疫苗,77,25,4.0482,0.6047
17,2025疫苗預算凍結1千萬，沒有刪除,預算,50,39,3.6174,0.3509
17,2025疫苗預算凍結1千萬，沒有刪除,執行率,24,1,6.6131,0.3079
17,2025疫苗預算凍結1千萬，沒有刪除,採購,30,17,4.4159,0.257
17,2025疫苗預算凍結1千萬，沒有刪除,疾管署,29,19,4.3105,0.2425
17,2025疫苗預算凍結1千萬，沒有刪除,1千萬,17,1,6.6131,0.2181
17,2025疫苗預算凍結1千萬，沒有刪除,凍結,24,13,4.6672,0.2173
17,2025疫苗預算凍結1千萬，沒有刪除,基金,20,10,4.9084,0.1905
17,2025疫苗預算凍結1千萬，沒有刪除,立委,21,58,3.2287,0.1315
17,2025疫苗預算凍結1千萬，沒有刪除,去年,16,21,4.2152,0.1308
18,228是7行星並列夜空，非連珠，也不罕見,行星,14,1,6.6131,0.4054
18,228是7行星並列夜空，非連珠，也不罕見,連珠,12,1,6.6131,0.3475
18,228是7行星並列夜空，非連珠，也不罕見,七星連珠,11,1,6.6131,0.3185
18,228是7行星並列夜空，非連珠，也不罕見,nasa,11,3,5.92,0.2851
18,228是7行星並列夜空，非連珠，也不罕見,天文館,8,1,6.6131,0.2316
18,228是7行星並列夜空，非連珠，也不罕見,火星,7,2,6.2077,0.1903
18,228是7行星並列夜空，非連珠，也不罕見,土星,6,1,6.6131,0.1737
18,228是7行星並列夜空，非連珠，也不罕見,夜空,6,1,6.6131,0.1737
18,228是7行星並列夜空，非連珠，也不罕見,罕見,8,11,4.8214,0.1689
18,228是7行星並列夜空，非連珠，也不罕見,天文,6,2,6.2077,0.1631
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,電信,16,9,5.0037,0.3822
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,樂齡,9,1,6.6131,0.2841
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,149,8,1,6.6131,0.2526
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,方案,13,25,4.0482,0.2512
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,優惠,10,9,5.0037,0.2389
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,通話,8,9,5.0037,0.1911
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,上網,7,4,5.6968,0.1904
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,專案,8,11,4.8214,0.1841
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,月租費,6,2,6.2077,0.1778
19,3大電信推樂齡優惠方案；網傳影片方案多處與現實不符,遠傳,5,2,6.2077,0.1482
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,地震,17,20,4.2618,0.5455
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,俄羅斯,10,25,4.0482,0.3048
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,通訊行,5,1,6.6131,0.249
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,緬甸,6,14,4.5982,0.2077
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,貨架,4,1,6.6131,0.1992
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,3月,8,79,2.9242,0.1762
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,堪察加半島,4,4,5.6968,0.1716
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,海嘯,4,6,5.3604,0.1614
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,30日,5,31,3.8405,0.1446
20,3月緬甸地震影像遭誤傳為俄羅斯8.8地震畫面,倒塌,4,13,4.6672,0.1406
21,53歲公務員被騙1600萬，不是1.6億,檢警,17,4,5.6968,0.5047
21,53歲公務員被騙1600萬，不是1.6億,詐騙,30,124,2.478,0.3874
21,53歲公務員被騙1600萬，不是1.6億,公務員,8,2,6.2077,0.2588
21,53歲公務員被騙1600萬，不是1.6億,案例,13,69,3.0578,0.2071
21,53歲公務員被騙1600萬，不是1.6億,改寫,5,3,5.92,0.1542
21,53歲公務員被騙1600萬，不是1.6億,打詐儀,4,1,6.6131,0.1378
21,53歲公務員被騙1600萬，不是1.6億,筆錄,4,1,6.6131,0.1378
21,53歲公務員被騙1600萬，不是1.6億,錶板,4,1,6.6131,0.1378
21,53歲公務員被騙1600萬，不是1.6億,更正,5,8,5.1091,0.1331
21,53歲公務員被騙1600萬，不是1.6億,手法,8,61,3.1791,0.1325
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,換照,25,2,6.2077,0.5876
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,駕照,14,4,5.6968,0.302
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,高齡,16,10,4.9084,0.2974
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,75,13,7,5.2268,0.2573
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,駕駛人,12,8,5.1091,0.2321
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,2026年,12,16,4.4731,0.2032
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,新制,9,5,5.5145,0.1879
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,換發,7,3,5.92,0.1569
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,元旦,6,3,5.92,0.1345
22,70歲換照新制2026年5月上路，高齡駕駛人不得提前換照,用到,6,3,5.92,0.1345
23,8月23日為重啟核三公投日 立委罷免投票時間未定,中選會,15,13,4.6672,0.4219
23,8月23日為重啟核三公投日 立委罷免投票時間未定,投票日,10,11,4.8214,0.2906
23,8月23日為重啟核三公投日 立委罷免投票時間未定,投票,11,25,4.0482,0.2684
23,8月23日為重啟核三公投日 立委罷免投票時間未定,罷免案,10,18,4.3618,0.2629
23,8月23日為重啟核三公投日 立委罷免投票時間未定,審查,11,31,3.8405,0.2546
23,8月23日為重啟核三公投日 立委罷免投票時間未定,8月,13,89,2.8065,0.2199
23,8月23日為重啟核三公投日 立委罷免投票時間未定,重啟,7,11,4.8214,0.2034
23,8月23日為重啟核三公投日 立委罷免投票時間未定,委員會,10,59,3.2119,0.1936
23,8月23日為重啟核三公投日 立委罷免投票時間未定,核三,6,9,5.0037,0.1809
23,8月23日為重啟核三公投日 立委罷免投票時間未定,立委,9,58,3.2287,0.1751
24,AIT未曾要求台美雙重國籍者限期返美申報財產,申報,22,7,5.2268,0.4873
24,AIT未曾要求台美雙重國籍者限期返美申報財產,ait,15,5,5.5145,0.3505
24,AIT未曾要求台美雙重國籍者限期返美申報財產,財產,15,5,5.5145,0.3505
24,AIT未曾要求台美雙重國籍者限期返美申報財產,雙重,10,8,5.1091,0.2165
24,AIT未曾要求台美雙重國籍者限期返美申報財產,海外,10,13,4.6672,0.1978
24,AIT未曾要求台美雙重國籍者限期返美申報財產,國籍,10,18,4.3618,0.1848
24,AIT未曾要求台美雙重國籍者限期返美申報財產,美國,18,181,2.1023,0.1604
24,AIT未曾要求台美雙重國籍者限期返美申報財產,郵寄,6,2,6.2077,0.1578
24,AIT未曾要求台美雙重國籍者限期返美申報財產,通知,12,93,2.763,0.1405
24,AIT未曾要求台美雙重國籍者限期返美申報財產,撤僑,5,1,6.6131,0.1401
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,聯合國,17,26,4.0104,0.3897
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,論壇,10,12,4.7413,0.271
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,教科文,7,2,6.2077,0.2484
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,文化,9,12,4.7413,0.2439
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,會議,12,42,3.5451,0.2432
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,語言,9,14,4.5982,0.2365
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,宇文所安,5,1,6.6131,0.189
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,數位,7,13,4.6672,0.1867
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,推廣,6,13,4.6672,0.1601
25,AI影片捏造「中國官員批繁體字遭哈佛教授反駁」情節,繁體字,5,5,5.5145,0.1576
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,沙烏地阿拉伯,14,7,5.2268,0.4154
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,溫室,9,1,6.6131,0.3379
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,合作,15,43,3.5221,0.2999
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,稱呼,8,3,5.92,0.2688
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,沙漠,7,2,6.2077,0.2467
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,沙特,6,1,6.6131,0.2252
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,綠洲,6,1,6.6131,0.2252
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,農業,7,7,5.2268,0.2077
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,技術,8,59,3.2119,0.1459
26,AI影片虛構台灣協助沙烏地阿拉伯建造沙漠溫室,外交,6,21,4.2152,0.1436
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,陳晉興,10,1,6.6131,0.4967
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,肺病,9,2,6.2077,0.4196
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,研發,8,20,4.2618,0.2561
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,深偽,6,22,4.1708,0.188
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,嘴唇,4,3,5.92,0.1779
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,變造,6,32,3.8098,0.1717
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,聲音,6,38,3.6427,0.1642
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,藥物,5,33,3.7799,0.142
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,逆轉,3,5,5.5145,0.1243
27,AI深偽影片盜用台大名醫名號  販售無效肺部治療藥物,台大,4,29,3.9051,0.1173
28,AI生成B-2轟炸伊朗核設施誤傳為真實畫面,伊朗,23,16,4.4731,0.5187
28,AI生成B-2轟炸伊朗核設施誤傳為真實畫面,地震,16,20,4.2618,0.3438
28,AI生成B-2轟炸伊朗核設施誤傳為真實畫面,德黑蘭,11,4,5.6968,0.3159
28,AI生成B-2轟炸伊朗核設施誤傳為真實畫面,空襲,10,17,4.4159,0.2226
28,AI生成B-2轟炸伊朗核設施誤傳為真實畫面,美軍,9,12,4.7413,0.2151
